time,minx,maxx,miny,maxy,G1x,G1y,G2x,G2y,HAx,HAy,HOx,HOy
1385413752959,529.5,688.5,-54.5,0,635.5,-54.5,688.5,-54.5,582.5,-54.5,529.5,-54.5
1385413753960,529.5,688.5,-54.5,0,635.5,-54.5,688.5,-54.5,582.5,-54.5,529.5,-54.5
1385413760914,529.5,635.5,-54.5,211.5,635.5,211.5,629.3121849541664,159.86947661548882,582.5,-54.5,529.5,-54.5
1385413773778,141.245015330147,582.5,-54.5,102.4208154745994,141.245015330147,90.01896799448878,191.74446264474713,102.4208154745994,582.5,-54.5,529.5,-54.5
1385413774778,141.245015330147,582.5,-54.5,102.4208154745994,141.245015330147,90.01896799448878,191.74446264474713,102.4208154745994,582.5,-54.5,529.5,-54.5
1385413783083,141.245015330147,582.5,-54.5,405.5,141.245015330147,90.01896799448878,317.5,405.5,582.5,-54.5,529.5,-54.5
1385413783537,141.245015330147,582.5,-54.5,405.5,141.245015330147,90.01896799448878,317.5,405.5,582.5,-54.5,529.5,-54.5
1385413791239,141.245015330147,582.5,-54.5,405.5,141.245015330147,90.01896799448878,317.5,405.5,582.5,-54.5,529.5,-54.5
1385413795340,141.245015330147,582.5,-54.5,405.5,141.245015330147,90.01896799448878,317.5,405.5,582.5,-54.5,529.5,-54.5
1385413802641,141.245015330147,582.5,-54.5,405.5,141.245015330147,90.01896799448878,317.5,405.5,582.5,-54.5,529.5,-54.5
1385413808042,141.245015330147,582.5,-54.5,405.5,141.245015330147,90.01896799448878,317.5,405.5,582.5,-54.5,529.5,-54.5
1385413827152,317.5,582.5,-54.5,705,582.5,705,317.5,405.5,582.5,-54.5,529.5,-54.5
1385413829052,317.5,582.5,-54.5,705,582.5,705,317.5,405.5,582.5,-54.5,529.5,-54.5
1385413835153,317.5,582.5,-54.5,705,582.5,705,317.5,405.5,582.5,-54.5,529.5,-54.5
1385413842656,317.5,582.5,-54.5,705,582.5,705,317.5,405.5,582.5,-54.5,529.5,-54.5
