N	SPEAK	ELMIRE	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">Bring up this table, and get under it.</speech></bml></act>
Y	MOVE	ELMIRE	/LEFT	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="/LEFT" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
Y	MOVE	ELMIRE	TABLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="ELMIRE" role="actor" /><bml><locomotion target="TABLE" type="basic" manner="walk" /></bml></act>
