N	MOVE	BROOKE	FRONTDOOR	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="BROOKE" role="actor" /><bml><locomotion target="FRONTDOOR" type="basic" manner="walk" /></bml></act>
N	SPEAK	GARRY	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">So we've got the place entirely to ourselves.</speech></bml></act>
N	SPEAK	LLOYD	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="LLOYD" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">Hold it, BROOKE. DOTTY!</speech></bml></act>
N	MOVE	DOTTY	STUDY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="DOTTY" role="actor" /><bml><locomotion target="STUDY" type="basic" manner="walk" /></bml></act>
N	SPEAK	DOTTY	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="DOTTY" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">Come back?</speech></bml></act>
N	SPEAK	LLOYD	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="LLOYD" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">Yes, and go out again with the newspaper.</speech></bml></act>
N	SPEAK	DOTTY	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="DOTTY" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">The newspaper? Oh, the newspaper.</speech></bml></act>
N	SPEAK	LLOYD	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="LLOYD" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">You put the receiver back, you leave the sardines, and you go out with the newspaper.</speech></bml></act>
N	SPEAK	GARRY	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">Here you are, love.</speech></bml></act>
N	SPEAK	DOTTY	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="DOTTY" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">Sorry, love.</speech></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><locomotion sbm:follow="DOTTY" type="basic" manner="walk" proximity="50"/></bml></act>
N	SPEAK	GARRY	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">Don't worry, love. It's only the technical.</speech></bml></act>
N	SPEAK	LLOYD	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="LLOYD" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">It's the dress, Garry, honey. It's the dress rehearsal.</speech></bml></act>
N	SPEAK	GARRY	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">So when was the technical?</speech></bml></act>
