time,minx,maxx,miny,maxy,G1x,G1y,G2x,G2y,HAx,HAy,HOx,HOy
1390572451814,529.5,688.5,-54.5,0,635.5,-54.5,688.5,-54.5,582.5,-54.5,529.5,-54.5
1390572452814,529.5,688.5,-54.5,0,635.5,-54.5,688.5,-54.5,582.5,-54.5,529.5,-54.5
1390572459731,529.5,635.5,-54.5,211.5,635.5,211.5,629.3121849541664,159.86947661548882,582.5,-54.5,529.5,-54.5
1390572466798,423.5,582.5,-54.5,395.5,423.5,395.5,462.59071372374495,361.2083669014114,582.5,-54.5,529.5,-54.5
1390572467798,423.5,582.5,-54.5,395.5,423.5,395.5,462.59071372374495,361.2083669014114,582.5,-54.5,529.5,-54.5
1390572471608,317.5,582.5,-54.5,405.5,423.5,395.5,317.5,405.5,582.5,-54.5,529.5,-54.5
1390572472009,317.5,582.5,-54.5,405.5,423.5,395.5,317.5,405.5,582.5,-54.5,529.5,-54.5
1390572479709,317.5,582.5,-54.5,405.5,423.5,395.5,317.5,405.5,582.5,-54.5,529.5,-54.5
1390572483809,317.5,582.5,-54.5,405.5,423.5,395.5,317.5,405.5,582.5,-54.5,529.5,-54.5
1390572491110,317.5,582.5,-54.5,405.5,423.5,395.5,317.5,405.5,582.5,-54.5,529.5,-54.5
1390572496510,317.5,582.5,-54.5,405.5,423.5,395.5,317.5,405.5,582.5,-54.5,529.5,-54.5
1390572505235,317.5,582.5,-54.5,705,582.5,705,317.5,405.5,582.5,-54.5,529.5,-54.5
1390572507135,317.5,582.5,-54.5,705,582.5,705,317.5,405.5,582.5,-54.5,529.5,-54.5
1390572513235,317.5,582.5,-54.5,705,582.5,705,317.5,405.5,582.5,-54.5,529.5,-54.5
1390572520736,317.5,582.5,-54.5,705,582.5,705,317.5,405.5,582.5,-54.5,529.5,-54.5
1390572523736,317.5,582.5,-54.5,705,582.5,705,317.5,405.5,582.5,-54.5,529.5,-54.5
1390572526737,317.5,582.5,-54.5,705,582.5,705,317.5,405.5,582.5,-54.5,529.5,-54.5
1390572530937,317.5,582.5,-54.5,705,582.5,705,317.5,405.5,582.5,-54.5,529.5,-54.5
1390572531589,317.5,582.5,-54.5,705,582.5,705,317.5,405.5,582.5,-54.5,529.5,-54.5
1390572542268,506,757.0181196501944,-54.5,564,757.0181196501944,318.05418956652284,506,564,582.5,-54.5,529.5,-54.5
1390572545268,506,757.0181196501944,-54.5,564,757.0181196501944,318.05418956652284,506,564,582.5,-54.5,529.5,-54.5
1390572548268,506,757.0181196501944,-54.5,564,757.0181196501944,318.05418956652284,506,564,582.5,-54.5,529.5,-54.5
1390572551269,506,757.0181196501944,-54.5,564,757.0181196501944,318.05418956652284,506,564,582.5,-54.5,529.5,-54.5
1390572554269,506,757.0181196501944,-54.5,564,757.0181196501944,318.05418956652284,506,564,582.5,-54.5,529.5,-54.5
1390572562669,506,757.0181196501944,-54.5,564,757.0181196501944,318.05418956652284,506,564,582.5,-54.5,529.5,-54.5
